NeXO Term	SGD Gene ID
8342	S000000290
7444	S000000291
8858	S000000291
8199	S000000291
9428	S000000291
8411	S000000291
8410	S000000291
6860	S000000291
9494	S000000291
9302	S000000291
8968	S000000291
7267	S000000292
6531	S000000292
8153	S000000292
7444	S000000292
8041	S000000292
8199	S000000292
9955	S000000292
9128	S000000292
6860	S000000292
7354	S000000292
9494	S000000292
6335	S000000292
5574	S000000292
5979	S000000295
8368	S000000295
6949	S000000295
8851	S000000296
6280	S000000296
8851	S000000297
9540	S000000297
6280	S000000297
7607	S000000297
7418	S000000297
8732	S000000298
9008	S000000298
7756	S000000298
9450	S000000298
8520	S000000299
8519	S000000299
7038	S000000299
8243	S000000299
8921	S000000299
8511	S000000299
6902	S000000299
9073	S000000299
8219	S000000299
5201	S000000300
6813	S000000301
8539	S000000301
7759	S000000301
5590	S000000301
9650	S000000301
8606	S000000302
9180	S000000302
9008	S000000302
7756	S000000302
7118	S000000302
9494	S000000302
8120	S000000302
8303	S000000303
7869	S000000303
8606	S000000303
8709	S000000303
8732	S000000303
9008	S000000303
9428	S000000303
8410	S000000303
7756	S000000303
7118	S000000303
9494	S000000303
8120	S000000303
8196	S000000303
8342	S000000305
6012	S000000305
9318	S000000305
7559	S000000306
9713	S000000306
7595	S000000306
8891	S000000306
9030	S000000306
9025	S000000306
7488	S000000306
8794	S000000306
9292	S000000307
8870	S000000307
7802	S000000307
9282	S000000307
8510	S000000307
7897	S000000307
6848	S000000307
9094	S000000307
7241	S000000307
6151	S000000308
6731	S000000308
6856	S000000308
9538	S000000309
7997	S000000309
6398	S000000309
8957	S000000309
8145	S000000310
5603	S000000310
7995	S000000310
6264	S000000310
5747	S000000310
8601	S000000310
8301	S000000311
5501	S000000311
8472	S000000311
7362	S000000311
8411	S000000311
8650	S000000311
6821	S000000311
8536	S000000311
8791	S000000311
7239	S000000312
8726	S000000312
8473	S000000312
9373	S000000312
7121	S000000312
9470	S000000312
9475	S000000312
9304	S000000312
8776	S000000312
9048	S000000313
8704	S000000313
6238	S000000313
8047	S000000313
5328	S000000313
5077	S000000313
9707	S000000313
9306	S000000313
6308	S000000313
6733	S000000313
5129	S000000313
5833	S000000313
5733	S000000313
8416	S000000313
9055	S000000313
8260	S000000313
8431	S000000313
8228	S000000313
7897	S000000313
7285	S000000313
6849	S000000313
6616	S000000313
5955	S000000313
5954	S000000313
9668	S000000313
8203	S000000313
7719	S000000313
6444	S000000313
8530	S000000313
7243	S000000313
8103	S000000313
5871	S000000313
8791	S000000313
8825	S000000313
9713	S000000314
7454	S000000314
6395	S000000314
6075	S000000315
8621	S000000315
7851	S000000316
9559	S000000316
9292	S000000316
8998	S000000316
9039	S000000316
8334	S000000316
7919	S000000316
7015	S000000316
5740	S000000316
8601	S000000316
8656	S000000316
7732	S000000316
5946	S000000316
9073	S000000316
6566	S000000316
8119	S000000316
8337	S000000316
5538	S000000318
9193	S000000318
9180	S000000318
8464	S000000318
6657	S000000318
9210	S000000318
8323	S000000318
9096	S000000318
6159	S000000319
7034	S000000319
7214	S000000319
8334	S000000319
7113	S000000319
5418	S000000319
5361	S000000321
8849	S000000322
7478	S000000322
7551	S000000322
9707	S000000322
7772	S000000322
9920	S000000322
6652	S000000322
7916	S000000322
8754	S000000322
8234	S000000322
7517	S000000323
9597	S000000323
9177	S000000323
9025	S000000323
8426	S000000323
7951	S000000323
